geoid,neighborhood_2021,totalPopulation,malePercent,age<18Percent,age>60Percent,white,black,asian,hispanic,foreignBorn,collegeAbove,poverty,unemployment,renterPercent,noCarPercent,medianIncome,noMove,housingCostPerc,comDriveAlone,comCarpool,comPublicTransit,comWFH,comTaxi,comMotorcycle,comBikeWalk,commute<10min,commute10-29min,commute30-59min,commute>60min
10,4,40935,46.88652742,22.31586662,20.14168804,4.108953219,66.60803713,7.678026139,13.91474289,40.25161842,19.88531785,11.62379303,33.71919001,35.13077446,23.42900815,75514.11765,94.26055643,31.27352941,48.5511469,4.629972983,38.72437358,2.876516396,1.387932405,0.238385337,3.088414473,2.416275772,21.10286899,37.96225592,38.51859932
100,0,358,57.54189944,6.145251397,19.55307263,47.76536313,25.1396648,15.6424581,7.262569832,31.84357542,59.54692557,34.07821229,38.98809524,58.2781457,88.0794702,118542,54.95750708,30.05,3.278688525,0,45.90163934,6.557377049,0,0,44.26229508,1.754385965,71.34502924,26.9005848,0
101,1,25349,45.52447828,17.01447789,35.78444909,34.89289518,4.812813129,48.15180086,8.99443765,43.56384867,50.2664028,7.552709922,44.77410967,24.85344542,14.08030085,99079.16667,92.42260403,22.98333333,65.98140865,6.855559528,16.99141938,5.800858062,0.482659993,0,3.789774759,6.888699118,35.41132935,30.24954929,27.45042224
102,1,36257,49.34219599,20.71599967,20.49259453,72.72250876,2.940121907,4.239181399,44.44934771,33.63764239,25.96164976,7.930415574,35.69358318,52.65873016,25.11904762,82622.30769,93.9039736,27.71923077,41.94475761,6.837655017,37.71702368,6.183765502,0.090191657,0.03945885,6.612175874,3.52099982,22.66418314,45.44853692,28.36628012
106,3,6332,54.02716361,16.91408718,14.5609602,61.33922931,5.180037903,9.128237524,32.73847126,24.16298168,64.81858948,9.690293742,23.29881657,62.87519747,53.31753555,120834.3333,84.89278752,23.46666667,6.767918998,2.344790834,59.76552092,15.08126832,1.438848921,0,14.068745,5.867587072,20.42673361,63.28835896,10.41732036
107,0,27291,48.03781466,9.640540838,18.10486974,72.73826536,5.554944854,15.59122055,6.786119966,14.22813382,83.8007175,10.76324114,26.24587392,60.38354966,79.08706431,143004.75,76.3120778,20.1625,3.032596042,1.443538999,43.58556461,21.5774156,2.415599534,0,26.93247963,6.702293476,56.4907593,31.32932532,5.47762191
108,4,31434,45.99478272,22.18934911,27.38754215,46.35108481,11.64344341,25.7364637,18.99853662,48.55252275,33.1061693,19.59022401,45.24482109,65.45975981,45.60853199,56804.5,93.2286808,30.05625,27.25291307,4.074105122,47.80786319,7.402129265,0.796378573,0.159275715,11.19121469,4.345464422,24.99547347,33.97609995,36.68296216
109,1,43161,48.04337249,19.30446468,25.80802113,87.23847918,1.19320683,5.120363291,12.72676722,19.12142907,40.18005363,5.78313253,39.43088305,19.17288226,8.231220032,109866.25,94.61294387,22.81875,57.99930806,8.367518411,23.12064449,8.135224633,0.607917758,0,1.319626353,1.904556948,29.5260128,30.6289342,37.94049605
11,4,33765,49.11891011,23.52732119,23.18377018,48.82866874,2.505553088,33.08159337,15.21397897,49.24033763,36.1027126,15.29271563,40.27115614,58.98187633,35.56325515,77831.45455,89.01367333,28.77727273,29.80589901,3.384679146,50.67348208,9.822477033,0.635490778,0.117427644,5.201353872,2.00689391,21.18728457,34.04059747,42.76522405
112,3,37518,49.42960712,12.60994723,14.2918066,78.56495549,3.081187697,3.971427048,14.65429927,26.49928035,62.98452133,9.311535065,21.44192498,81.87796649,60.35912392,107693.6154,82.34913095,24.98525641,11.23647932,1.887592789,51.16861082,19.52916225,0.835630965,0.101802757,13.95121951,3.716198408,23.1458542,60.17078699,12.9671604
